name	mean Cancer	noSamples_Cancer	stddev Cancer	mean Normal	noSamples_Normal	stddev Normal	FC 	log2(FC) 	t-statistics 	p-value 	p-value_cor 
hsa-miR-3074-5p	29.376464606305763	142.0	7.205469366765625	27.732494027851637	50.0	5.570605691079236	0.944037834351883	-0.08308341502688993	-1.4655351895010353	0.14442785725285756	1.0
hsa-miR-302d-3p	0.012278448746900568	142.0	0.10339477452250845	0.0	50.0	0.0	0.0	-Infinity	-0.8382831089809555	0.4029250539586243	1.0
hsa-miR-874-5p	0.6986758339324182	142.0	0.7723965233744263	0.6307232954791807	50.0	0.9328418546989263	0.9027409634726103	-0.1476160211629097	-0.5059069282461426	0.6135084403014235	1.0
hsa-miR-18b-3p	0.10314018616065533	142.0	0.435094992627001	0.046646082808743994	50.0	0.18975968114078687	0.4522590519284711	-1.144778716326914	-0.8876983150650588	0.3758253900497812	1.0
hsa-miR-429	0.5548206425259155	142.0	2.2517041642563016	0.08107513979401595	50.0	0.2511148080464925	0.14612855683398435	-2.7746899538649092	-1.4819824299761388	0.1400015827341945	1.0
hsa-miR-27a-3p	972.1680450240488	142.0	334.67196989464975	1066.6061621716656	50.0	339.94458201072223	1.097141762302299	0.133749949220491	1.7089735299434512	0.089088701099173	1.0
hsa-miR-1912-3p	5.550887235678258	142.0	2.0803631771839077	5.396857611149143	50.0	2.0559724536805066	0.9722513504617619	-0.04059876131619577	-0.4515990759291713	0.6520728970839028	1.0
hsa-miR-421	149.48813215940353	142.0	40.6819654573382	160.28129614182677	50.0	38.947832904785756	1.0722008083619252	0.10057512790140957	1.630981103075485	0.10455078900454684	1.0
hsa-miR-653-3p	0.012558298232705333	142.0	0.1054757253151557	0.029801910864932595	50.0	0.14748152192298009	2.3730851356372518	1.2467638588792858	0.8905126581515919	0.37431689667851453	1.0
hsa-miR-6739-5p	0.004956185240872885	142.0	0.059059763326161	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988702	0.5542993355504104	1.0
hsa-miR-26b-5p	121.46772837162018	142.0	59.11279016806354	135.574632716711	50.0	49.80452649874818	1.1161370557777448	0.1585141934308067	1.5087483753134423	0.13302416263701422	1.0
hsa-miR-9851-5p	0.01276053201910546	142.0	0.10719538454562674	0.013915662042840058	50.0	0.09839858995192456	1.0905236570078036	0.12502106706957972	0.06690080658397154	0.946731016499815	1.0
hsa-miR-6837-3p	0.010296952411725072	142.0	0.08655005730857174	0.03310935642600112	50.0	0.16480949714211773	3.215452019405248	1.685021561912519	1.237613949962858	0.21738647486586438	1.0
hsa-miR-598-5p	0.005759686525605043	142.0	0.0686345861792694	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988689	0.5542993355504223	1.0
hsa-miR-12136	0.21222046734175895	142.0	0.6744027103403275	0.20280851101390485	50.0	0.4494937841469951	0.9556501008326538	-0.06544560450029334	-0.09169219263401858	0.9270392012540277	1.0
hsa-miR-12135	0.021572185741757576	142.0	0.12812527750752145	0.0	50.0	0.0	0.0	-Infinity	-1.1885162831867515	0.2361134751956523	1.0
hsa-miR-450b-5p	75.34815643020782	142.0	30.00375044229665	77.75248882132905	50.0	31.87965738210492	1.031909637939825	0.04531664265669395	0.479394937989152	0.6322090190891068	1.0
hsa-miR-423-3p	1754.8104753149175	142.0	230.79055627969302	1835.8147033668736	50.0	240.4009982613543	1.0461612403113898	0.06510522507463315	2.111342158468148	0.036050423577042794	1.0
hsa-miR-374b-3p	0.2500180840427735	142.0	0.5104359184385767	0.19418658674721923	50.0	0.41848864461615554	0.7766901641962727	-0.3645888987300487	-0.6951807057221248	0.48779138295230173	1.0
hsa-miR-6509-5p	0.041749415244514684	142.0	0.21878041119120087	0.013661113537856137	50.0	0.09659866021177428	0.32721688334667215	-1.611680906228356	-0.8770579371696245	0.38156277205356515	1.0
hsa-miR-377-3p	140.40083462357305	142.0	39.572578202462246	143.82241530255467	50.0	35.49168091506568	1.0243700878855542	0.034737031252599936	0.5395747124043198	0.590122135054667	1.0
hsa-miR-3120-3p	1.4525798905649945	142.0	1.1123727560334828	1.7970542104666996	50.0	1.074824181372154	1.237146557059742	0.3070164175487052	1.8994773385002992	0.059016640345980434	1.0
hsa-miR-3074-3p	0.07651622473572044	142.0	0.2804963614539735	0.11067477880258568	50.0	0.35312968985113397	1.4464223657772655	0.5324888911805031	0.6903044621844615	0.49084510929512815	1.0
hsa-miR-6772-5p	0.006521830974828374	142.0	0.07771658545973836	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988673	0.5542993355504223	1.0
hsa-miR-874-3p	346.0335833892236	142.0	91.14383316476903	310.51469420026945	50.0	60.75206357532853	0.8973542138856447	-0.15625052028393632	-2.560353439238484	0.011233704606808585	1.0
hsa-miR-512-3p	0.017159192201488437	142.0	0.12060131353027104	0.024845215807340417	50.0	0.12536541377300076	1.4479245593615573	0.5339864362123609	0.3835859289171327	0.7017142455313212	1.0
hsa-miR-3065-5p	0.014091739704834185	142.0	0.09822957199121046	0.0	50.0	0.0	0.0	-Infinity	-1.0126705144002204	0.31250541637585394	1.0
hsa-miR-548t-5p	0.013987193474851136	142.0	0.16667664666957535	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988684	0.5542993355504223	1.0
hsa-miR-503-5p	8.84193195867056	142.0	5.953304671451785	8.595439138314408	50.0	3.110601781144679	0.9721222893923723	-0.040790283934315205	-0.27932499210414186	0.7802992485786945	1.0
hsa-miR-12124	0.00566768651395645	142.0	0.0675382795139817	0.0	50.0	0.0	0.0	-Infinity	-0.592381697598868	0.5542993355504223	1.0
hsa-miR-6861-5p	0.00616705849792325	142.0	0.07348898348314951	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988706	0.5542993355504104	1.0
hsa-miR-3200-5p	0.007535448634237619	142.0	0.0897952338876137	0.012133374910364687	50.0	0.08579591677797593	1.6101728641923456	0.6872155808402652	0.31493445507027185	0.7531570166075778	1.0
hsa-miR-11399	0.00490950544273665	142.0	0.05850350933321036	0.0	50.0	0.0	0.0	-Infinity	-0.5923816975988693	0.5542993355504223	1.0
