name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
hsa-miR-378a-3p	743.6794518401513	769.1021113417331	498.15245635988765	597.502842163698	1558.1184981306224	6998.983312662239	11165.538672498333
hsa-miR-484	1848.374364688368	1304.7464605950634	1410.5532927680958	1378.626751633025	3556.5218371377928	1324.7063183302546	10823.529025152598
hsa-miR-23a-3p	1516.7799232869563	765.4745767476846	260.8434733792868	2061.233773949996	792.505115254533	5076.089528445648	10472.926391064106
hsa-miR-425-3p	1032.1198855527107	690.3975661315751	1927.0026955433602	1397.692748358994	2449.446139222304	2498.7145425966924	9995.373577405637
hsa-miR-27a-3p	1605.7343999096677	1275.790961246141	1823.2166266109411	1245.0724005360946	1190.5517214275712	2646.7369102503117	9787.103019980728
hsa-miR-320b	1444.6810546556117	1842.8477242226822	2042.652326665043	1328.6429081122017	1558.3172003141003	280.09702576769325	8497.238239737331
hsa-miR-30e-3p	1625.2133083526467	1218.7220687933434	294.54293400873763	1115.8596281509886	953.5895682113509	2823.438334455217	8031.365841972284
hsa-miR-199a-5p	1564.273173737892	704.9940743790556	214.23392626466128	1561.6751000447534	675.5753629771784	3112.06199430434	7832.813631707881
hsa-miR-98-5p	1928.4667724392857	1303.7143406331852	482.10214065314096	2623.0266693388626	998.2930366812852	364.278715371037	7699.881675116797
hsa-miR-16-5p	796.5133087674972	1750.458181370943	599.0555789330728	619.8665912303509	614.0289446304696	2864.062070229924	7243.984675162257
hsa-miR-181a-5p	813.2503879926763	824.1629042871111	1221.932794316548	828.8166134887937	1289.4987753402497	1830.0194683488323	6807.680943774211
hsa-miR-4433b-3p	1934.2055402021067	958.7055712842289	496.0505472613227	1442.8082173559098	1446.4674698685326	405.43907472966816	6683.676420701769
hsa-miR-425-5p	1061.3024852273818	1031.6449275859884	1087.8930173752765	1216.3440818259373	807.9550392016492	1273.9709976683928	6479.110548884626
hsa-miR-532-5p	904.2314340372396	1214.0580957438526	421.48446055157683	953.6323827529881	646.2373926404414	2129.2869017633807	6268.93066748948
hsa-miR-30e-5p	896.220524322624	1017.7825632444462	323.142680759703	475.873976422013	782.3740175842929	2632.870438577577	6128.264200910657
hsa-miR-150-5p	124.59825645411101	97.2956600046562	372.5547733390818	30.261727361567562	3735.4623497384086	1634.7062234232737	5994.878990321099
hsa-miR-192-5p	724.3435953563618	1245.9285782487066	685.9804317086978	269.80602343610053	959.98482361569	2031.7633264701692	5917.806778835726
hsa-miR-134-5p	1648.8168816189248	720.9725005671262	28.530831698553435	336.6478607951674	1954.9219341937082	942.5948473314775	5632.4848562049565
hsa-let-7d-3p	833.5637661975945	739.1101735373684	544.566744159346	730.6045605864169	1777.6277249645063	983.4846774453206	5608.957646890553
hsa-miR-432-5p	463.77445169256936	211.82210933104247	78.70098985446381	93.99979781175566	3486.4906244922577	880.6835644259188	5215.471537608008
hsa-miR-409-3p	1591.3099940247198	646.3489317752727	26.739040335842347	345.2940686127581	1784.5928546127964	555.8710744543492	4950.155963815739
hsa-miR-11400	1397.4745893228594	729.0048985968049	159.6072613861105	1186.0823544643697	623.4424228824012	805.8223570157592	4901.433883668305
hsa-let-7c-5p	943.719905571811	929.2812069197496	623.6907411688524	973.5735572910181	1012.5401943008245	370.24598651914545	4853.051591771401
hsa-miR-340-5p	497.10555818373797	415.74137543933654	239.9622124984615	210.16935925835935	930.1614048489206	2381.012146585695	4674.1520568145115
hsa-miR-99b-5p	1029.401898328109	520.6807690528806	289.71888033990007	1214.5705007351494	1094.7917419903224	396.7466596512373	4545.910450097599
hsa-miR-1843	1014.0953386948254	618.7537578991186	189.7920543425511	1028.2336373842518	1196.3559961344797	386.19158419885696	4433.422368654084
hsa-miR-363-3p	550.8930948390143	1173.766550788529	361.66619505799133	725.2838173140534	391.18700879214646	1216.5833185281401	4419.379985319875
hsa-miR-328-3p	546.3154321449483	385.6846602315067	214.18798289638664	323.7893978869555	2121.45185214828	656.188640308485	4247.617965616562
hsa-miR-17-5p	416.1619912756425	372.081405503825	99.0998453684054	546.2814507656844	608.9422893418699	2195.4409110762685	4238.007893331696
hsa-miR-486-3p	766.6154492968782	984.8756422841498	657.5874301149684	483.8550913305583	1020.9613677184477	238.77532031771312	4152.670301062716
hsa-miR-185-3p	878.4820813831179	406.1543197264943	125.70105559942382	1318.9900874552836	769.9634229382488	639.8681875081659	4139.159154610735
hsa-miR-29a-3p	320.9609124349871	218.73169903399184	420.3818197129854	192.1010018959582	421.7069405237448	2557.151816074647	4131.034189676315
hsa-miR-3615	513.1273776129692	1172.2118931053653	110.81540427843942	432.7537861522336	1571.966442258632	317.0070560235909	4117.881959431231
hsa-miR-20a-5p	606.0634670997899	525.4095195058364	128.80223295796225	806.9424467024102	580.7018545860756	1465.9728463735971	4113.8923672256715
hsa-miR-152-3p	631.4313478627394	286.44567812289597	64.642319162423	1094.5212306524472	951.8166261190588	1032.1799415071425	4061.037143426707
hsa-miR-224-5p	1073.032745880926	461.2151126718723	69.7420330409084	657.9985846822896	1180.1462398620954	569.087093298086	4011.221809436178
hsa-miR-941	458.48152920255626	508.3730623945031	945.1010287776882	586.6119457780803	515.2929552525889	968.3173001145863	3982.177821520003
hsa-miR-183-5p	248.62430507146377	1583.1597406882806	588.1210572837077	401.6052682452721	307.0988981291535	638.0942252472615	3766.703494665139
hsa-miR-101-3p	309.1352838086497	1067.6611639126122	444.2264278475252	172.4807610791177	283.41745732496724	1483.2985444550952	3760.219638427967
hsa-miR-4446-3p	871.4725353828293	413.02072449380023	319.76584319151675	858.4132479413158	1112.5211629132427	183.6050940035907	3758.7986079262955
hsa-miR-10a-5p	479.2955892646371	387.8870919493218	395.36565568744214	447.44125456032043	1268.4767476745014	719.519093022767	3697.98543215899
hsa-miR-126-5p	826.9833760748745	450.2029540827967	148.16736268572436	904.8589027563224	355.85480566718405	926.9839794355199	3613.0513807024217
hsa-miR-127-3p	1031.5476777159524	407.9680870235185	35.560167044573845	345.18321979458386	1396.698452563478	334.56928240654304	3551.5268865486496
hsa-miR-155-5p	773.6249952971668	325.4416750089166	101.99427756970793	890.0051611209742	908.1262674161484	542.7437537236577	3541.9361301365716
