name	SRX732315	SRX732316	SRX732317
hsa-miR-1269b	0	7	0
hsa-miR-1269a	0	5	0
hsa-miR-374b-3p	8	0	0
hsa-miR-20b-5p	101	58	138
hsa-miR-146b-5p	970	596	311
hsa-miR-10401-3p	11	0	6
hsa-miR-2115-5p	3	0	0
hsa-miR-181a-3p	57	68	75
hsa-miR-1909-5p	0	2	0
hsa-miR-515-3p	0	6	0
hsa-let-7f-1-3p	0	11	2
hsa-miR-7706	0	19	9
hsa-miR-487b-3p	35	3	5
hsa-let-7a-5p	40655	15186	22446
hsa-miR-6806-3p	0	0	2
hsa-miR-7704	72	35	89
hsa-miR-4454	8	0	2
hsa-miR-4451	2	2	2
hsa-miR-486-3p	502	235	1606
hsa-miR-3136-5p	2	0	0
hsa-miR-504-5p	7	14	8
hsa-miR-370-3p	58	16	18
hsa-miR-3194-3p	0	0	2
hsa-miR-665	0	2	0
hsa-miR-4732-5p	33	14	56
hsa-miR-5094	0	2	2
hsa-miR-551a	2	0	0
hsa-miR-1197	3	3	0
