name	mean male	noSamples_male	stddev male	mean female	noSamples_female	stddev female	FC 	log2(FC) 	t-statistics 	p-value 	p-value_cor 
hsa-miR-4500	0.016975669095662543	115.0	0.12937398214899248	0.0	77.0	0.0	0.0	-Infinity	-1.1503976826980822	0.2514259296349076	1.0
hsa-miR-22-3p	52692.60668187973	115.0	14191.058731870404	50435.021823678224	77.0	11982.288770938636	0.9571555669691729	-0.06317466917800374	-1.1483086194850356	0.25228485227121944	1.0
hsa-miR-363-5p	0.146159335345456	115.0	0.5153432831649014	0.14541240952779064	77.0	0.3622130783473145	0.9948896468644992	-0.0073915840557648655	-0.011021252387640377	0.9912180545816781	1.0
hsa-miR-30d-5p	17611.028558868307	115.0	1900.7610284738043	18205.166477893952	77.0	1783.8710479008205	1.0337366961299064	0.047868762479099075	2.175269006548037	0.030844854519265105	1.0
hsa-miR-499a-5p	78.97676255653197	115.0	24.741790690069557	76.57623108039644	77.0	21.96903253351628	0.9696045849636187	-0.04453157399663478	-0.6886867724857801	0.49186046307948394	1.0
hsa-miR-452-5p	36.516966083803304	115.0	12.381943950787402	34.2009139256112	77.0	8.125153825168994	0.9365759972261396	-0.09453203007966891	-1.4455254498057628	0.1499577272039384	1.0
hsa-miR-142-3p	19.426082942761298	115.0	10.819678789587734	22.04052257868611	77.0	13.603457004931062	1.1345839839986387	0.18216340391009525	1.4782503453157976	0.1409966180520117	1.0
hsa-miR-541-5p	21.736164949197953	115.0	4.722461862730536	22.126843794738758	77.0	5.333510183604458	1.0179736787263947	0.0257002587988454	0.5332028398523513	0.594516314603516	1.0
hsa-miR-495-5p	0.3032506501788819	115.0	0.5581677606351662	0.3440593524089397	77.0	0.573535246832666	1.1345708647483046	0.18214672186002903	0.4910620829954305	0.6239492583884455	1.0
hsa-miR-1231	0.0	115.0	0.0	0.009346177018022692	77.0	0.08201237049141177	1.0093461770180228	0.01342106266290704	1.2236812629657017	0.22258783610366284	1.0
hsa-miR-548e-5p	0.012782741533512238	115.0	0.09782606233862066	0.0	77.0	0.0	0.0	-Infinity	-1.145611799244399	0.25339670101499623	1.0
hsa-miR-146a-5p	1676.6582670076245	115.0	336.54062785263216	1746.3318917067165	77.0	280.95258673747156	1.0415550539248766	0.058739098548253564	1.4998097220717623	0.1353234956155881	1.0
hsa-miR-4646-5p	0.05294133187615575	115.0	0.2942570744065764	0.022826374379511027	77.0	0.1432806463825444	0.43116358373658137	-1.2136927623007752	-0.8337912022686994	0.4054456517249668	1.0
hsa-miR-3192-5p	0.008044222954809608	115.0	0.08626468071504621	0.016970887023836347	77.0	0.10635838866003011	2.109698738980068	1.077036999496438	0.6393782364700893	0.523347020277666	1.0
hsa-miR-185-3p	109.31748871999517	115.0	24.93535796057955	103.70853926559701	77.0	17.866846902913483	0.9486911973548453	-0.07598953403107879	-1.7022112002688354	0.09035129273018072	1.0
hsa-miR-584-5p	38.59383950360068	115.0	51.0430679249218	43.561793605664946	77.0	33.49699174789289	1.1287240182879648	0.17469277918474632	0.7521443266842972	0.45289503067086223	1.0
hsa-miR-222-5p	0.21492942540814944	115.0	0.4175711725270571	0.10018817266653175	77.0	0.29437925901036077	0.466144514536691	-1.1011508050638372	-2.087921136026238	0.03813818078155627	1.0
hsa-miR-29a-5p	0.2871840326089014	115.0	0.4917773267438795	0.26715807571517847	77.0	0.5418404053199017	0.9302678609538327	-0.10428190981887386	-0.2654216928975615	0.7909723850528538	1.0
hsa-miR-323a-3p	5685.859948485107	115.0	1915.9567726324979	5907.438605924998	77.0	1791.7984122594703	1.0389701222765655	0.05515416717455538	0.8058628555157725	0.4213293585272645	1.0
hsa-miR-508-3p	0.005685036122222076	115.0	0.060965220468407556	0.006678385920541319	77.0	0.05860259861801094	1.1747306045139037	0.2323299482007411	0.11237453418846266	0.9106450809664889	1.0
hsa-miR-200a-5p	3.3512516917887365	115.0	1.8939148558709602	3.6409696970588645	77.0	2.05396430752664	1.0864506852708191	0.11962269110466045	1.0040908404119846	0.31661187066336793	1.0
hsa-miR-4787-3p	0.02104969770470956	115.0	0.13204625138331355	0.0	77.0	0.0	0.0	-Infinity	-1.3976158906092193	0.1638581625985781	1.0
hsa-miR-3613-3p	2.6800218757782743	115.0	1.4166714995430174	2.604018834392034	77.0	1.3858031257054795	0.971640887683363	-0.04150489349236655	-0.36752094701588395	0.7136395244031946	1.0
hsa-miR-363-3p	263.7299345492038	115.0	167.74583812858924	265.73277991596564	77.0	110.18606003441161	1.0075943042650253	0.01091487193287899	0.09224980255988408	0.9265967629563723	1.0
hsa-miR-548o-3p	1.7234696495742263	115.0	4.022751511952206	1.3197687025002578	77.0	1.3419595424327333	0.7657626595433806	-0.3850307823161679	-0.8489149798765204	0.39699689623893	1.0
hsa-miR-30d-3p	71.53556791473238	115.0	15.140998510838456	69.42251590588911	77.0	13.078738821619968	0.9704615190675225	-0.04325708684395156	-0.9998861127651084	0.3186373339888121	1.0
hsa-miR-6511b-5p	0.010911044386123548	115.0	0.07026093389003828	0.02041533534533707	77.0	0.12634754059466535	1.8710706897408367	0.9038640651591519	0.6676011179955775	0.5051983062513812	1.0
hsa-miR-2116-3p	0.005087092550593941	115.0	0.05455299002901171	0.0	77.0	0.0	0.0	-Infinity	-0.8175590362645258	0.41463305945955486	1.0
hsa-miR-376b-5p	0.05326489701235821	115.0	0.15674217464960372	0.050398953077526516	77.0	0.14456059074371702	0.9461945090372229	-0.07979130627172298	-0.12805768251646776	0.8982387639065518	1.0
hsa-miR-541-3p	0.9971605072867737	115.0	0.9018069761735953	1.1905153642956547	77.0	0.9008164286765216	1.193905450121556	0.255688588661442	1.456719570473278	0.14684440671641708	1.0
hsa-miR-3140-5p	0.0037218563689103983	115.0	0.03991246303527106	0.0	77.0	0.0	0.0	-Infinity	-0.8175590362645229	0.41463305945955486	1.0
hsa-miR-495-3p	440.87284890101404	115.0	189.03313383267732	464.18684052121773	77.0	181.56553525961078	1.0528814411645435	0.07434299203907874	0.8508554803915719	0.39592065584325997	1.0
hsa-miR-548e-3p	1.4438201726853823	115.0	2.6762128680399235	1.4108720014522504	77.0	1.2403492190850982	0.9771798650161183	-0.033303957991841986	-0.10095244004640007	0.9196946642165531	1.0
hsa-miR-146a-3p	0.0717048820497388	115.0	0.27999355098240936	0.044397191588495116	77.0	0.19155282832992146	0.6191655340524592	-0.6916029290179493	-0.7465069920366701	0.45628390490872683	1.0
hsa-miR-4646-3p	0.0	115.0	0.0	0.009935768337784399	77.0	0.0871860133254364	1.0099357683377843	0.014263540851056532	1.2236812629656997	0.22258783610366284	1.0
hsa-miR-532-5p	8092.2151869939125	115.0	1879.5905556405435	7899.577584435024	77.0	1592.2209270839448	0.9761947009431358	-0.03475917448521507	-0.7390098826246209	0.46081296442212993	1.0
hsa-miR-486-5p	3262.1734174204803	115.0	11391.766535491723	2713.22688276793	77.0	3286.0023644671255	0.8317236809909933	-0.2658237856031268	-0.4112292132218747	0.6813679308528543	1.0
hsa-miR-124-5p	74.2799343486247	115.0	14.804607017720246	70.57671884438362	77.0	13.08230390301638	0.9501451430091409	-0.07378018028054477	-1.7784685917826972	0.07692603469762302	1.0
hsa-miR-4999-5p	0.0047244407900894955	115.0	0.050663983159558695	0.0	77.0	0.0	0.0	-Infinity	-0.8175590362645275	0.41463305945955486	1.0
hsa-miR-584-3p	0.0	115.0	0.0	0.008388630169786422	77.0	0.07360993099887897	1.0083886301697864	0.012051756658813135	1.2236812629657012	0.22258783610366284	1.0
hsa-miR-222-3p	2050.6111827338736	115.0	330.46552165485434	2147.7293117283425	77.0	286.2578090668083	1.047360577086579	0.06675820752060478	2.103599416665107	0.036729477478098134	1.0
