name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-548y	0	0	2	0
hsa-miR-27b-5p	12	0	238	6
hsa-miR-548v	0	0	3	0
hsa-miR-548e-3p	28	0	107	21
hsa-miR-548s	41	0	150	43
hsa-miR-10395-3p	0	0	5	0
hsa-miR-548q	0	0	17	0
hsa-miR-3130-3p	0	0	7	2
hsa-miR-199b-5p	85	0	317	130
hsa-miR-21-3p	563	0	592	360
hsa-miR-548n	2	0	0	7
hsa-miR-143-5p	0	0	8	6
hsa-miR-1246	1815	0	49	14
hsa-miR-548l	0	0	10	0
hsa-miR-1244	7	0	11	4
hsa-miR-335-5p	26355	0	10077	15069
hsa-miR-548k	35	0	70	51
hsa-miR-548i	43	0	104	21
hsa-miR-580-5p	3	0	0	0
hsa-miR-411-5p	0	0	59	0
hsa-miR-224-3p	111	0	536	162
hsa-miR-6818-5p	0	0	4	2
hsa-miR-219b-5p	0	0	5	0
hsa-miR-517a-3p	41	0	145	115
hsa-miR-3619-5p	0	0	3	0
hsa-miR-3124-3p	0	0	3	0
hsa-miR-208a-3p	0	0	3	0
hsa-miR-23a-3p	20924	0	7625	26247
hsa-miR-3677-3p	4	0	2	0
hsa-miR-498-5p	0	0	6	2
hsa-miR-3200-3p	71	0	131	50
hsa-miR-195-3p	0	0	159	2
hsa-miR-382-5p	7	0	29	0
hsa-miR-766-5p	0	0	3	0
hsa-miR-1304-5p	0	0	5	0
hsa-miR-579-3p	14	0	11	8
hsa-miR-6865-5p	0	0	4	0
hsa-miR-655-3p	3	0	0	0
hsa-miR-6509-3p	0	0	7	0
hsa-miR-6754-3p	0	0	11	0
hsa-miR-4749-5p	0	0	4	0
hsa-miR-30a-3p	6242	0	47815	6417
hsa-miR-3934-5p	9	0	6	0
hsa-miR-4446-3p	6	0	110	2
hsa-miR-4999-3p	0	0	3	0
hsa-miR-4638-3p	0	0	7	2
hsa-miR-452-5p	967	0	6096	1542
hsa-miR-19a-5p	0	0	0	2
hsa-miR-548aw	0	0	0	3
hsa-miR-6859-5p	24	0	79	20
hsa-miR-320a-3p	6295	0	12915	5633
hsa-miR-106b-3p	363	0	2208	169
hsa-miR-27b-3p	10099	0	54594	19592
hsa-miR-4796-5p	2	0	2	0
hsa-miR-3928-5p	3	0	3	0
hsa-miR-4680-5p	0	0	2	0
hsa-miR-4685-3p	0	0	8	0
hsa-miR-199b-3p	128	0	358	150
hsa-miR-548ag	7	0	10	3
hsa-miR-330-5p	9	0	101	0
hsa-miR-143-3p	19478	0	30440	5912
hsa-miR-374c-5p	26	0	23	15
hsa-miR-1234-3p	0	0	5	0
hsa-miR-522-5p	0	0	0	1
hsa-miR-335-3p	3279	0	10296	2235
hsa-miR-548ab	0	0	0	5
hsa-miR-26a-5p	79503	0	211445	79039
hsa-miR-580-3p	0	0	4	3
hsa-miR-135b-5p	16	0	135	16
hsa-miR-411-3p	0	0	3	0
hsa-miR-6813-5p	0	0	2	0
hsa-miR-219b-3p	0	0	2	3
hsa-miR-6818-3p	2	0	3	0
hsa-miR-34b-3p	0	0	7	0
hsa-miR-6510-3p	38	0	717	66
hsa-miR-3614-5p	7	0	13	3
