name	SRX098328	SRX098325	SRX098326	SRX098327
hsa-miR-374c-5p	26	0	23	15	63.0
hsa-miR-181b-3p	11	0	31	21	63.0
hsa-miR-221-5p	10	0	39	14	63.0
hsa-miR-6755-5p	30	0	23	10	63.0
hsa-miR-504-5p	7	0	37	17	61.0
hsa-miR-130b-5p	12	0	46	2	60.0
hsa-miR-3690	14	0	43	3	60.0
hsa-miR-12135	0	0	59	0	59.0
hsa-miR-411-5p	0	0	59	0	59.0
hsa-miR-520c-3p	1	0	41	17	58.5
hsa-miR-6511a-3p	6	0	49	3	58.080000000000005
hsa-miR-24-1-5p	0	0	51	7	58.0
hsa-miR-942-3p	16	0	12	30	58.0
hsa-miR-1277-3p	0	0	55	3	58.0
hsa-miR-550a-3p	7	0	36	15	57.99
hsa-miR-5187-5p	10	0	36	11	57.0
hsa-miR-6509-5p	4	0	52	0	56.0
hsa-miR-378e	6	0	32	18	55.900000000000006
hsa-miR-1323	6	0	39	10	55.0
hsa-miR-1179	0	0	49	6	55.0
hsa-miR-34c-5p	0	0	50	5	55.0
hsa-miR-6516-3p	19	0	10	26	55.0
hsa-miR-518f-3p	5	0	38	11	53.67
hsa-miR-499a-3p	0	0	30	23	53.0
hsa-miR-205-3p	8	0	18	27	53.0
hsa-miR-3688-3p	6	0	26	21	53.0
hsa-miR-3940-3p	14	0	27	12	53.0
hsa-miR-3190-3p	25	0	11	17	53.0
hsa-miR-582-5p	6	0	32	15	53.0
hsa-miR-5699-3p	0	0	26	27	53.0
hsa-miR-542-5p	9	0	33	9	51.0
hsa-miR-708-3p	17	0	8	26	51.0
hsa-miR-20b-5p	8	0	31	10	49.66
hsa-miR-320e	23	0	18	9	49.63
hsa-miR-523-3p	9	0	37	3	49.0
hsa-miR-3928-3p	2	0	27	20	49.0
hsa-miR-942-5p	3	0	39	7	49.0
hsa-miR-34a-3p	16	0	6	27	49.0
hsa-miR-515-5p	15	0	8	26	49.0
hsa-miR-4423-3p	5	0	10	34	49.0
hsa-miR-491-3p	9	0	14	25	48.0
hsa-miR-548b-3p	19	0	21	8	48.0
hsa-miR-520d-3p	0	0	41	7	48.0
hsa-miR-4510	30	0	7	10	47.2
hsa-miR-3144-3p	4	0	25	18	47.0
hsa-miR-625-3p	4	0	23	20	47.0
hsa-miR-206	4	0	19	24	47.0
hsa-miR-190a-3p	11	0	6	29	46.0
hsa-miR-4640-3p	12	0	31	2	45.0
hsa-miR-628-3p	0	0	45	0	45.0
hsa-miR-3178	4	0	41	0	45.0
hsa-miR-505-5p	2	0	41	2	45.0
hsa-miR-744-3p	3	0	19	23	45.0
hsa-miR-874-5p	0	0	45	0	45.0
hsa-miR-589-3p	4	0	33	8	45.0
hsa-miR-1271-5p	8	0	25	11	44.0
hsa-miR-4780	2	0	35	7	44.0
hsa-miR-561-5p	0	0	12	31	43.0
hsa-miR-3691-5p	0	0	41	2	43.0
hsa-miR-31-5p	7	0	31	5	43.0
hsa-miR-4433b-5p	0	0	42	0	42.0
hsa-miR-891a-5p	19	0	11	12	42.0
hsa-miR-208b-3p	0	0	40	0	40.0
hsa-miR-383-5p	0	0	40	0	40.0
hsa-miR-1278	12	0	18	9	39.0
hsa-miR-519b-3p	7	0	24	8	38.34
hsa-miR-6858-5p	2	0	36	0	38.0
hsa-miR-2277-5p	0	0	35	2	37.0
hsa-miR-616-5p	10	0	21	6	37.0
hsa-miR-204-5p	0	0	37	0	37.0
hsa-miR-497-3p	2	0	27	8	37.0
hsa-miR-6513-5p	7	0	24	5	36.0
hsa-miR-203b-3p	6	0	17	13	36.0
hsa-miR-6882-5p	10	0	15	11	36.0
hsa-miR-382-5p	7	0	29	0	36.0
hsa-miR-409-3p	0	0	34	2	36.0
hsa-miR-3942-5p	0	0	22	13	35.0
hsa-miR-3936	6	0	28	0	34.0
hsa-miR-4742-3p	3	0	29	2	34.0
hsa-miR-92a-1-5p	4	0	25	5	34.0
hsa-miR-4775	2	0	21	11	34.0
hsa-miR-525-3p	2	0	28	4	33.67
hsa-miR-579-3p	14	0	11	8	33.0
hsa-miR-132-5p	3	0	27	3	33.0
hsa-miR-676-3p	2	0	27	4	33.0
hsa-miR-660-3p	22	0	8	3	33.0
hsa-miR-518d-3p	7	0	16	9	31.75
hsa-miR-378i	2	0	5	24	31.0
hsa-miR-4707-3p	0	0	26	5	31.0
hsa-miR-23b-5p	0	0	26	5	31.0
hsa-miR-127-5p	4	0	26	0	30.0
hsa-miR-92b-5p	0	0	30	0	30.0
hsa-miR-153-3p	0	0	27	3	30.0
hsa-miR-654-3p	6	0	21	3	30.0
hsa-miR-641	2	0	26	2	30.0
hsa-miR-4661-5p	15	0	8	6	29.0
hsa-miR-5006-3p	2	0	19	8	29.0
hsa-miR-1262	26	0	2	0	28.0
hsa-miR-1306-5p	8	0	18	2	28.0
hsa-miR-4660	0	0	24	4	28.0
hsa-miR-3664-3p	11	0	6	10	27.0
hsa-miR-196b-3p	2	0	13	12	27.0
hsa-miR-6515-5p	2	0	22	3	27.0
hsa-miR-2278	4	0	18	5	27.0
hsa-miR-15a-3p	2	0	9	15	26.0
hsa-miR-191-3p	0	0	24	2	26.0
hsa-miR-338-5p	9	0	10	7	26.0
hsa-miR-95-3p	0	0	26	0	26.0
hsa-miR-493-5p	4	0	17	5	26.0
hsa-miR-3157-5p	7	0	18	0	25.0
hsa-miR-26a-1-3p	4	0	11	10	25.0
hsa-miR-6843-3p	0	0	20	5	25.0
hsa-miR-582-3p	2	0	12	11	25.0
hsa-miR-629-3p	5	0	17	3	25.0
hsa-miR-1296-3p	3	0	19	3	25.0
hsa-miR-136-5p	0	0	20	5	25.0
hsa-miR-545-3p	0	0	25	0	25.0
hsa-miR-769-3p	5	0	19	0	24.0
hsa-miR-449a	0	0	24	0	24.0
