name	SRX2205015	SRX2204999	SRX2205014	SRX2205006	SRX2205007	SRX2205004	SRX2205005	SRX2205011	SRX2205010	SRX2205013	SRX2205012	SRX2205008	SRX2205009
hsa-miR-141-3p	0	0	2	0	0	0	0	0	97	0	0	1	15	115.0
hsa-miR-92b-3p	0	0	0	0	0	0	16	0	55	3	0	11	28	113.0
hsa-miR-92b-5p	0	8	4	2	0	12	15	0	50	2	0	0	19	112.0
hsa-miR-550a-3-5p	0	0	0	0	0	0	3	0	70	0	0	1	34	107.01
hsa-miR-146b-3p	0	0	0	0	0	3	2	0	63	0	0	2	36	106.0
hsa-miR-200b-3p	0	0	2	0	0	0	3	0	75	0	0	0	25	105.0
hsa-miR-4508	0	2	7	0	2	2	18	0	15	9	0	2	48	105.0
hsa-miR-598-3p	2	0	0	0	0	0	2	0	95	0	0	0	3	102.0
hsa-miR-21-3p	2	0	2	0	0	2	7	0	61	0	0	2	24	100.0
hsa-miR-200a-5p	0	0	0	0	0	0	6	0	59	0	0	0	34	99.0
hsa-miR-4746-5p	0	0	0	0	0	0	3	0	53	3	0	0	40	99.0
hsa-miR-136-5p	2	3	11	0	0	0	9	2	58	0	0	5	5	95.0
hsa-miR-378g	0	2	0	0	0	0	0	0	75	0	0	0	17	94.0
hsa-miR-708-3p	0	3	2	0	0	0	0	0	51	2	0	0	33	91.0
hsa-miR-339-5p	0	0	6	0	0	2	27	0	36	0	0	14	6	91.0
hsa-miR-4758-5p	0	33	0	0	0	0	0	8	11	5	0	22	11	90.0
hsa-miR-651-5p	0	0	2	0	0	2	0	0	32	0	0	0	53	89.0
hsa-miR-6859-5p	0	0	0	0	0	2	0	0	50	0	0	0	37	88.8
hsa-miR-10396b-5p	1	25	9	3	5	19	17	0	0	3	0	5	0	87.95999999999998
hsa-miR-4485-3p	11	14	8	0	0	0	20	0	16	2	0	2	14	87.0
hsa-miR-1908-5p	0	8	12	0	0	2	4	0	32	0	0	4	25	87.0
hsa-miR-485-5p	2	7	4	0	0	2	26	0	41	0	0	0	3	85.0
hsa-miR-452-5p	0	0	0	0	0	0	3	0	68	0	0	0	14	85.0
hsa-miR-1304-3p	0	0	0	0	0	0	5	0	44	0	0	0	34	83.0
hsa-miR-4659a-3p	0	2	0	0	0	1	0	0	58	4	0	0	18	82.5
hsa-miR-628-3p	0	2	6	0	0	7	5	0	52	2	0	3	5	82.0
hsa-miR-3912-3p	0	0	0	0	0	0	0	0	69	0	0	0	13	82.0
hsa-miR-330-5p	4	7	6	0	0	0	6	0	42	0	0	10	4	79.0
hsa-miR-495-3p	0	7	4	0	0	0	4	0	30	0	0	31	3	79.0
