name	SRX387062	SRX387063	SRX387064
hsa-miR-550a-3p	20.893992133220856	12.850060519639865	73.0095408868031	106.75359353966381
hsa-miR-1304-3p	77.87471153311738	21.969458307771383	5.840763270944247	105.684933111833
hsa-miR-29b-3p	99.69237100149587	2.4871084876722325	0.0	102.1794794891681
hsa-miR-1185-1-3p	59.79949730201549	42.28084429042794	0.0	102.08034159244343
hsa-miR-338-5p	71.66384496912642	26.943675283115848	0.0	98.60752025224227
hsa-miR-196b-5p	71.66384496912642	26.943675283115848	0.0	98.60752025224227
hsa-miR-377-3p	82.81155418654609	15.337169007312099	0.0	98.14872319385819
hsa-miR-98-3p	32.806115696977876	64.25030259819933	0.0	97.0564182951772
hsa-miR-194-5p	79.94500038778102	9.948433950688928	5.840763270944247	95.7341976094142
hsa-miR-125b-5p	33.761633629899556	46.840543184493704	14.601908177360619	95.20408499175387
hsa-miR-497-5p	68.79729117036136	19.482349820099152	5.840763270944247	94.12040426140476
